"OWC","SCCS.ID","minerva_id","eHRAF.Name","PSF.Cluster","EA.ID","Domain_var","TL1","Domain_name","Domain_num"
"MB01",47,47,"Turks",NA,"Ci05","General_TL1_avg_final",3,"law",1
"MB01",47,47,"Turks",NA,"Ci05","Soc_TL1_avg_final",2.125,"social",2
"MB01",47,47,"Turks",NA,"Ci05","Gender_TL1_avg_final",4,"gender",3
"MB01",47,47,"Turks",NA,"Ci05","Mar_TL1_avg_final",2.875,"marriage",4
"MB01",47,47,"Turks",NA,"Ci05","Sex_TL1_avg_final",3.625,"sex",5
"MB01",47,47,"Turks",NA,"Ci05","FM_TL1_avg_final",NA,"funeral",6
"MB01",47,47,"Turks",NA,"Ci05","Ov_tl_avg",3.125,"overall",7
"MB01",47,47,"Turks",NA,"Ci05","General_TL5B_avg_final",3,"gestalt",8
"ER06",51,51,"Rural Irish",NA,"Cg03","General_TL1_avg_final",3.75,"law",1
"ER06",51,51,"Rural Irish",NA,"Cg03","Soc_TL1_avg_final",4,"social",2
"ER06",51,51,"Rural Irish",NA,"Cg03","Gender_TL1_avg_final",3.75,"gender",3
"ER06",51,51,"Rural Irish",NA,"Cg03","Mar_TL1_avg_final",3.25,"marriage",4
"ER06",51,51,"Rural Irish",NA,"Cg03","Sex_TL1_avg_final",4,"sex",5
"ER06",51,51,"Rural Irish",NA,"Cg03","FM_TL1_avg_final",4,"funeral",6
"ER06",51,51,"Rural Irish",NA,"Cg03","Ov_tl_avg",3.79166666666667,"overall",7
"ER06",51,51,"Rural Irish",NA,"Cg03","General_TL5B_avg_final",3.75,"gestalt",8
"EP04",52,52,"Saami","20","Cg04","General_TL1_avg_final",2.25,"law",1
"EP04",52,52,"Saami","20","Cg04","Soc_TL1_avg_final",NA,"social",2
"EP04",52,52,"Saami","20","Cg04","Gender_TL1_avg_final",1.75,"gender",3
"EP04",52,52,"Saami","20","Cg04","Mar_TL1_avg_final",2,"marriage",4
"EP04",52,52,"Saami","20","Cg04","Sex_TL1_avg_final",2.25,"sex",5
"EP04",52,52,"Saami","20","Cg04","FM_TL1_avg_final",NA,"funeral",6
"EP04",52,52,"Saami","20","Cg04","Ov_tl_avg",2.0625,"overall",7
"EP04",52,52,"Saami","20","Cg04","General_TL5B_avg_final",2,"gestalt",8
"RU41",53,53,"Nenets",NA,"Ec04","General_TL1_avg_final",2,"law",1
