"OWC","SCCS.ID","minerva_id","eHRAF.Name","PSF.Cluster","EA.ID","General_TL5B_avg_final","Domain_prefix","TL1","TL2","TL3","TL4","TL5","Domain_name","Domain_num","Z_TL1","Z_TL2","Z_TL3","Z_TL4","Z_TL5"
"MP17",35,35,"Konso",NA,"Ca01",NA,"Soc",NA,NA,NA,NA,NA,"social",2,NA,NA,NA,NA,NA
"MP17",35,35,"Konso",NA,"Ca01",NA,"Gender",NA,NA,NA,NA,NA,"gender",3,NA,NA,NA,NA,NA
"MP17",35,35,"Konso",NA,"Ca01",NA,"Mar",NA,NA,NA,NA,NA,"marriage",4,NA,NA,NA,NA,NA
"MP17",35,35,"Konso",NA,"Ca01",NA,"Sex",NA,NA,NA,NA,NA,"sex",5,NA,NA,NA,NA,NA
"MP17",35,35,"Konso",NA,"Ca01",NA,"FM",NA,NA,NA,NA,NA,"funeral",6,NA,NA,NA,NA,NA
"MO04",36,36,"Somali","12","Ca02",3.25,"General",3,3.25,3.75,3.25,3.25,"law",1,0.0547954435691525,0.0653455337369648,0.150968285233599,-0.0555338878084417,0.333387367337557
"MO04",36,36,"Somali","12","Ca02",3.25,"Soc",3,NA,NA,NA,NA,"social",2,0.0547954435691525,NA,NA,NA,NA
"MO04",36,36,"Somali","12","Ca02",3.25,"Gender",4,3.25,3.25,3.75,4,"gender",3,1.30568787722175,0.0653455337369648,-0.0456216969531117,0.140156954945114,1.28059532375522
"MO04",36,36,"Somali","12","Ca02",3.25,"Mar",3,NA,NA,3.25,3,"marriage",4,0.0547954435691525,NA,NA,-0.0555338878084417,0.017651381865001
"MO04",36,36,"Somali","12","Ca02",3.25,"Sex",NA,NA,NA,NA,NA,"sex",5,NA,NA,NA,NA,NA
"MO04",36,36,"Somali","12","Ca02",3.25,"FM",3,NA,NA,3.75,3.25,"funeral",6,0.0547954435691525,NA,NA,0.140156954945114,0.333387367337557
"MP05",37,37,"Amhara","17","Ca07",3,"General",4,2.75,2.75,3,3,"law",1,1.30568787722175,-0.528209731040464,-0.242211679139822,-0.15337930918522,0.017651381865001
"MP05",37,37,"Amhara","17","Ca07",3,"Soc",3,4,4,NA,4,"social",2,0.0547954435691525,0.955678430903108,0.249263276326954,NA,1.28059532375522
"MP05",37,37,"Amhara","17","Ca07",3,"Gender",4,3,3,3.75,3.25,"gender",3,1.30568787722175,-0.23143209865175,-0.143916688046467,0.140156954945114,0.333387367337557
"MP05",37,37,"Amhara","17","Ca07",3,"Mar",2.75,4,1,2,2.25,"marriage",4,-0.257927664843997,0.955678430903108,-0.930276616793309,-0.544760994692332,-0.929556574552667
"MP05",37,37,"Amhara","17","Ca07",3,"Sex",3,2.75,3,NA,3,"sex",5,0.0547954435691525,-0.528209731040464,-0.143916688046467,NA,0.017651381865001
"MP05",37,37,"Amhara","17","Ca07",3,"FM",4,NA,NA,NA,NA,"funeral",6,1.30568787722175,NA,NA,NA,NA
"MS22",40,40,"Teda",NA,"Cc02",3,"General",2.75,4,3,3,3,"law",1,-0.257927664843997,0.955678430903108,-0.143916688046467,-0.15337930918522,0.017651381865001
"MS22",40,40,"Teda",NA,"Cc02",3,"Soc",3,3,2.75,NA,3,"social",2,0.0547954435691525,-0.23143209865175,-0.242211679139822,NA,0.017651381865001
"MS22",40,40,"Teda",NA,"Cc02",3,"Gender",2.25,NA,NA,2.25,2.25,"gender",3,-0.883373881670296,NA,NA,-0.446915573315554,-0.929556574552667
"MS22",40,40,"Teda",NA,"Cc02",3,"Mar",3,3.75,4,3.75,3.25,"marriage",4,0.0547954435691525,0.658900798514394,0.249263276326954,0.140156954945114,0.333387367337557
"MS22",40,40,"Teda",NA,"Cc02",3,"Sex",3,3.25,3.25,4,3.25,"sex",5,0.0547954435691525,0.0653455337369648,-0.0456216969531117,0.238002376321892,0.333387367337557
"MS22",40,40,"Teda",NA,"Cc02",3,"FM",3.25,3,2.75,3,3,"funeral",6,0.367518551982302,-0.23143209865175,-0.242211679139822,-0.15337930918522,0.017651381865001
"MX03",42,42,"Berbers of Morocco",NA,"Cd03",3.125,"General",4,3.875,2.625,NA,3.25,"law",1,1.30568787722175,0.807289614708751,-0.2913591746865,NA,0.333387367337557
"MX03",42,42,"Berbers of Morocco",NA,"Cd03",3.125,"Soc",NA,NA,NA,NA,NA,"social",2,NA,NA,NA,NA,NA
"MX03",42,42,"Berbers of Morocco",NA,"Cd03",3.125,"Gender",3.75,NA,NA,NA,3.75,"gender",3,0.992964768808601,NA,NA,NA,0.964859338282669
